,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
728,HHHHH,H,36,62,0.0072683222289521504,0.5806451612903226,0.06496396026213272,0.0024505061417070726
647,HUHHH,H,24,36,0.004845548152634767,0.6666666666666666,0.056836303847891484,0.002153576956726563
719,HHHUH,H,23,41,0.004643650312941652,0.5609756097560976,0.05103895145667216,0.0014613271954468379
725,HHHHU,H,22,36,0.004441752473248536,0.6111111111111112,0.05209994519390053,0.001658802621182324
485,UHHHH,H,21,40,0.004239854633555421,0.525,0.047179695660491454,0.001168609933373713
701,HHUHH,H,21,43,0.004239854633555421,0.4883720930232558,0.04550413916891309,0.0010112362863158144
692,HHUUH,H,20,34,0.004037956793862305,0.5882352941176471,0.048736728473215606,0.0013972168836893792
464,UHHDU,H,19,35,0.0038360589541691905,0.5428571428571428,0.045633671819083836,0.0011304630877184308
727,HHHHH,U,19,62,0.0038360589541691905,0.3064516129032258,0.034286534582792266,0.000360254235810374
397,UUHHD,U,18,39,0.0036341611144760752,0.46153846153846156,0.040954915819205254,0.000774140829119164
